,Table 16-1D.  Occupation of the Employed Foreign-Born Population 16 Years and Over by Region of Birth and Sex: 2000,,,,,,,,,,,,,
,,,,,,,,,,, ,,,
,                              (Numbers in thousands.  Data are for civilian noninstitutional population),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,Latin America,,,,,,,
,,Total,,,,,,,Central America,,,,,
,,foreign-,,,,,,,,,Other,,,
,,born,,,,,,,,,Central,South,Northern,Other
,Occupation and sex,population,Europe,Asia,Africa,Oceania,Total,Caribbean,Total,Mexico,America,America,America,reported
,TOTAL POPULATION,,,,,,,,,,,,,
,Number:,,,,,,,,,,,,,
,    Sales occupations.........................................,10.3,7.8,13.1,12.6,(B),9.3,10.1,8.3,8.3,8.2,11.8,11.0,8.8
,"    Administrative support, including", , , , , , , , , , , , , 
,       clerical.....................................................................,14.7,19.3,13.7,10.8,(B),13.7,17.2,11.2,10.0,14.2,17.9,16.5,12.8
,Service occupations.........................................,27.5,23.8,18.5,31.4,(B),35.1,32.2,37.4,36.2,40.4,31.1,15.7,22.9
,    Private household.........................................,4.6,3.4,1.7,3.8,-,7.1,3.7,8.2,6.5,12.6,7.9,1.9,1.5
,    Protective service.........................................,0.3,0.6,-,-,-,0.4,0.4,0.3,0.3,0.4,0.4,-,0.4
,"    Service, except private household", , , , , , , , , , , , , 
,       and protective.........................................,22.6,19.8,16.8,27.6,(B),27.6,28.1,28.8,29.4,27.4,22.8,13.8,21.0
,"Precision production, craft, and repair.........................................",3.9,3.7,3.3,-,-,4.4,2.2,5.6,6.4,3.8,3.3,4.7,4.9
,    Mechanics and repairers.........................................,0.6,0.6,0.8,-,-,0.5,1.1,0.3,0.3,-,0.5,1.5,-
,    Construction trades.........................................,0.1,-,0.1,-,-,0.2,-,0.2,0.1,0.5,0.3,-,-
,"    Other precision production, craft,", , , , , , , , , , , , , 
,      and repair.................................................................,3.2,3.0,2.4,-,-,3.7,1.1,5.2,5.9,3.2,2.5,3.2,4.9
,"Operators, fabricators, and laborers.........................................",13.2,8.0,9.2,8.7,(B),17.9,12.1,22.6,24.4,18.2,9.2,2.1,15.2
,"    Machine operators, assemblers, ", , , , , , , , , , , , , 
,      and inspectors..................................................,9.9,6.1,7.1,2.8,(B),13.5,8.5,17.6,19.7,12.2,6.1,0.7,13.4
,    Transportation and material moving, , , , , , , , , , , , , 
,      occupations............................................................,0.5,0.3,0.4,-,-,0.6,0.6,0.4,0.5,0.2,1.4,1.4,-
,"    Handlers, equipment cleaners,", , , , , , , , , , , , , 
,"      helpers, and laborers.........................................",2.7,1.7,1.8,6.0,-,3.7,3.1,4.6,4.1,5.8,1.7,-,1.8
,"Farming, forestry, and fishing.........................................",1.6,0.5,0.3,-,-,2.6,0.3,4.2,5.1,1.9,-,1.7,4.9
,    Farm operators and managers.........................................,0.1,0.1,-,-,-,0.1,0.3,-,-,-,-,-,-
,"    Other farming, forestry, and fishing", , , , , , , , , , , , , 
,      occupations.............................................................,1.5,0.4,0.3,-,-,2.5,-,4.2,5.1,1.9,-,1.7,4.9
,"(B) Base less than 75,000.  Derived measure not shown.",,,,,,,,,,,,,
,- Represents zero or rounds to zero.,,,,,,,,,,,,,
,"Source: U.S. Bureau of the Census, March 2000 Current Population Survey.",,,,,,,,,,,,,
,Internet Release date:  February 2002,,,,,,,,,,,,,
