SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004
050,34,025,New Jersey,Monmouth County,0,1,04,24621,24621,25004,26324,27706,28978,29938
050,34,025,New Jersey,Monmouth County,0,1,05,137,137,109,111,117,126,127
050,34,025,New Jersey,Monmouth County,0,1,06,5198,5198,5304,5505,5724,5938,6119
050,34,025,New Jersey,Monmouth County,0,2,01,33778,33778,34300,36458,38359,40233,42037
050,34,025,New Jersey,Monmouth County,0,2,02,3011,3011,3032,3093,3152,3191,3210
050,34,025,New Jersey,Monmouth County,0,2,03,411,411,352,370,378,390,406
050,34,025,New Jersey,Monmouth County,0,2,04,238,238,232,252,279,294,320
050,34,025,New Jersey,Monmouth County,0,2,05,80,80,51,57,63,72,72
050,34,025,New Jersey,Monmouth County,0,2,06,657,657,521,557,588,629,658
050,34,027,New Jersey,Morris County,0,1,01,386879,386879,387322,386253,386860,387023,387130
050,34,027,New Jersey,Morris County,0,1,02,12783,12783,12892,12973,12959,13282,13577
050,34,027,New Jersey,Morris County,0,1,03,402,402,404,401,411,427,435
050,34,027,New Jersey,Morris County,0,1,04,29757,29757,30265,32016,33827,35684,37515
050,34,027,New Jersey,Morris County,0,1,05,158,158,116,119,122,125,129
050,34,027,New Jersey,Morris County,0,1,06,3607,3607,3481,3588,3768,3959,4124
050,34,027,New Jersey,Morris County,0,2,01,34668,34668,35110,36924,38820,40899,43065
050,34,027,New Jersey,Morris County,0,2,02,1050,1050,1049,1056,1086,1122,1147
050,34,027,New Jersey,Morris County,0,2,03,298,298,262,287,310,328,347
050,34,027,New Jersey,Morris County,0,2,04,212,212,208,212,217,220,232
050,34,027,New Jersey,Morris County,0,2,05,65,65,25,23,29,30,35
050,34,027,New Jersey,Morris County,0,2,06,333,333,336,361,391,414,437
050,34,029,New Jersey,Ocean County,0,1,01,460327,460327,462636,470242,479368,485589,489853
050,34,029,New Jersey,Ocean County,0,1,02,14593,14593,14702,15309,16151,16383,16655
050,34,029,New Jersey,Ocean County,0,1,03,526,526,534,539,567,577,584
050,34,029,New Jersey,Ocean County,0,1,04,6554,6554,6638,7159,7803,8193,8481
050,34,029,New Jersey,Ocean County,0,1,05,76,76,34,51,55,69,74
050,34,029,New Jersey,Ocean County,0,1,06,3202,3202,3059,3283,3504,3663,3810
050,34,029,New Jersey,Ocean County,0,2,01,23287,23287,23893,25392,27439,29461,31009
050,34,029,New Jersey,Ocean County,0,2,02,1299,1299,1338,1410,1517,1603,1640
050,34,029,New Jersey,Ocean County,0,2,03,323,323,284,301,322,340,352
050,34,029,New Jersey,Ocean County,0,2,04,199,199,165,189,192,205,213
050,34,029,New Jersey,Ocean County,0,2,05,51,51,88,95,109,109,112
050,34,029,New Jersey,Ocean County,0,2,06,479,479,338,372,406,446,468
050,34,031,New Jersey,Passaic County,0,1,01,257682,258448,257525,255463,253292,250410,247604
050,34,031,New Jersey,Passaic County,0,1,02,62021,62317,62130,62124,61896,61377,60797
050,34,031,New Jersey,Passaic County,0,1,03,837,838,899,902,877,884,863
050,34,031,New Jersey,Passaic County,0,1,04,18535,18593,18306,18868,19482,20014,20518
