! Converted to time format with year at start.
!
! 01/17/86 KAYE DUA0:[DATA.S378SC.N]S378SC.620;
! DRB0:[DRS.REFMT]REFORMAT.EXE;5
! (dy,hr,min,sec,tenths,event,numpair(station,range))
! (i3.3,3i2.2,i1.1,t12,i3.3,<numpair>(1x,a2,1x,f8.1))
!  
19781451921150 000 01 161796.0 02  93483.0
19781451922450 000 01 161771.0 02  93449.0
19781451924050 000 01 161760.0 02  93432.0
19781451925250 000 01 161748.0 02  93398.0
19781451926460 000 01 161723.0 02  93356.0
19781451928040 000 01 161699.0 02  93334.0
19781451930100 000 01 161664.0 02  93258.0
19781451931200 000 01 161667.0 02  93256.0
19781451932210 000 01 161638.0 02  93212.0
19781451933450 000 01 161641.0 02  93191.0
19781451935050 000 01 161604.0 02  93142.0
19781451937510 000 01 161565.0 02  93100.0
19781451940210 000 01 161537.0 02  93030.0
19781451942170 000 01 161507.0 02  93016.0
19781451943240 000 01 161493.0 02  92967.0
19781451945040 000 01 161461.0 02  92952.0
19781451946270 000 01 161436.0 02  92923.0
19781451947570 000 01 161418.0 02  92894.0
19781451949110 000 01 161407.0 02  92873.0
19781451950120 000 01 161397.0 02  92850.0
19781451951220 000 01 161364.0 02  92844.0
19781451952290 000 01 161331.0 02  92833.0
19781451954240 000 01 161318.0 02  92807.0
19781451955310 000 01 161287.0 02  92784.0
19781451957020 000 01 161280.0 02  92771.0
19781451959480 000 01 161231.0 02  92753.0
19781452000460 000 01 161216.0 02  92734.0
19781452002110 000 01 161194.0 02  92724.0
19781452003300 000 01 161174.0 02  92709.0
19781452004430 000 01 161160.0 02  92694.0
19781452005510 000 01 161138.0 02  92691.0
19781452006550 000 01 161121.0 02  92684.0
19781452008070 000 01 161108.0 02  92670.0
19781452009050 000 01 161094.0 02  92662.0
19781452010100 000 01 161070.0 02  92656.0
19781452011230 000 01 161064.0 02  92649.0
19781452012270 000 01 161045.0 02  92637.0
19781452014410 000 01 161015.0 02  92604.0
19781452015460 000 01 161018.0 02  92589.0
19781452016480 000 01 161021.0 02  92584.0
19781452018140 000 01 161001.0 02  92554.0
19781452019380 000 01 160986.0 02  92526.0
19781452020520 000 01 160982.0 02  92509.0
19781452022010 000 01 160962.0 02  92478.0
19781452023030 000 01 160963.0 02  92460.0
19781452024230 000 01 160948.0 02  92433.0
19781452025210 000 01 160931.0 02  92411.0
19781452026380 000 01 160936.0 02  92377.0
19781452027550 000 01 160936.0 02  92350.0
19781452029150 000 01 160912.0 02  92322.0
19781452030090 000 01 160923.0 02  92303.0
19781452031170 000 01 160918.0 02  92293.0
19781452032420 000 01 160917.0 02  92276.0
19781452033440 000 01 160911.0 02  92252.0
19781452034430 000 01 160907.0 02  92248.0
19781452036320 000 01 160883.0 02  92191.0
19781452038090 000 01 160883.0 02  92166.0
19781452039460 000 01 160871.0 02  92133.0
19781452040540 000 01 160872.0 02  92110.0
19781452041570 000 01 160871.0 02  92091.0
19781452043360 000 01 160854.0 02  92063.0
19781452044330 000 01 160849.0 02  92048.0
19781452046350 000 01 160834.0 02  92008.0
19781452048270 000 01 160828.0 02  91979.0
19781452049290 000 01 160814.0 02  91965.0
19781452050220 000 01 160812.0 02  91947.0
19781452051240 000 01 160807.0 02  91924.0
19781452052560 000 01 160800.0 02  91901.0
19781452053580 000 01 160788.0 02  91880.0
19781452055440 000 01 160794.0 02  91847.0
19781452057070 000 01 160799.0 02  91826.0
19781452058200 000 01 160791.0 02  91803.0
19781452059440 000 01 160778.0 02  91774.0
19781452101220 000 01 160772.0 02  91744.0
19781452103070 000 01 160771.0 02  91704.0
19781452105270 000 01 160791.0 02  91656.0
19781452106320 000 01 160781.0 02  91636.0
19781452107410 000 01 160770.0 02  91636.0
19781452108530 000 01 160767.0 02  91617.0
19781452109510 000 01 160762.0 02  91605.0
19781452110440 000 01 160764.0 02  91586.0
19781452112320 000 01 160763.0 02  91556.0
19781452113200 000 01 160778.0 02  91549.0
19781452114270 000 01 160759.0 02  91533.0
19781452115160 000 01 160753.0 02  91519.0
19781452116170 000 01 160745.0 02  91503.0
19781452117330 000 01 160753.0 02  91482.0
19781452118570 000 01 160764.0 02  91469.0
19781452120120 000 01 160735.0 02  91482.0
19781452124050 000 01 160506.0 02  91536.0
19781452125110 000 01 160447.0 02  91540.0
19781452126190 000 01 160361.0 02  91561.0
19781452127430 000 01 160245.0 02  91565.0
19781452128580 000 01 160187.0 02  91582.0
19781452130010 000 01 160117.0 02  91595.0
19781452131070 000 01 160037.0 02  91621.0
19781452132120 000 01 159970.0 02  91642.0
19781452133170 000 01 159896.0 02  91661.0
