SUMLEV,ST,CTY,STNAME,CTYNAME,TIME,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,24,021,Maryland,Frederick County,3,196577,96765,99812,14194,7239,6955,28315,14519,13796,11827,6071,5756,14704,7214,7490,147997,71937,76060,142241,68936,73305,87355,43273,44082,44696,22521,22175,18963,7711,11252,2126,602,1524,35.6,35.1,36.1
050,24,021,Maryland,Frederick County,4,202301,99646,102655,14234,7220,7014,28681,14706,13975,12250,6344,5906,15990,7907,8083,153143,74557,78586,147136,71376,75760,89862,44549,45313,46892,23578,23314,19504,7982,11522,2245,664,1581,35.8,35.2,36.4
050,24,021,Maryland,Frederick County,5,209095,103069,106026,14523,7371,7152,28927,14825,14102,12755,6565,6190,17474,8732,8742,159191,77540,81651,152890,74308,78582,92915,46186,46729,49410,24757,24653,20056,8259,11797,2366,740,1626,35.9,35.2,36.5
050,24,021,Maryland,Frederick County,6,213576,105399,108177,14773,7517,7256,28908,14871,14037,13121,6710,6411,18534,9294,9240,163210,79610,83600,156774,76301,80473,94237,46887,47350,51604,25855,25749,20685,8582,12103,2520,805,1715,36.1,35.3,36.7
050,24,021,Maryland,Frederick County,7,217456,107435,110021,15121,7744,7377,28883,14836,14047,13584,6995,6589,19390,9686,9704,166484,81322,85162,159868,77860,82008,95209,47438,47771,53626,26826,26800,21081,8794,12287,2649,829,1820,36.1,35.3,36.9
050,24,021,Maryland,Frederick County,8,220701,109149,111552,15602,8006,7596,28716,14719,13997,14010,7201,6809,19910,10054,9856,169196,82738,86458,162373,79223,83150,95948,48020,47928,55311,27530,27781,21535,9033,12502,2853,908,1945,36.1,35.3,37.0
050,24,023,Maryland,Garrett County,1,29846,14708,15138,1810,934,876,3827,1974,1853,1847,974,873,2339,1213,1126,23309,11338,11971,22362,10826,11536,11955,6021,5934,7329,3648,3681,4461,1895,2566,558,161,397,38.3,37.2,39.4
050,24,023,Maryland,Garrett County,2,29846,14708,15138,1810,934,876,3827,1974,1853,1847,974,873,2339,1213,1126,23309,11338,11971,22362,10826,11536,11955,6021,5934,7329,3648,3681,4461,1895,2566,558,161,397,38.3,37.2,39.4
050,24,023,Maryland,Garrett County,3,29832,14706,15126,1772,915,857,3781,1951,1830,1839,970,869,2355,1224,1131,23383,11380,12003,22440,10870,11570,11946,6021,5925,7396,3681,3715,4477,1904,2573,567,165,402,38.6,37.5,39.6
050,24,023,Maryland,Garrett County,4,29811,14725,15086,1698,884,814,3759,1941,1818,1799,937,862,2403,1240,1163,23480,11448,12032,22555,10963,11592,11956,6041,5915,7449,3703,3746,4545,1950,2595,583,172,411,39.0,37.9,40.0
050,24,023,Maryland,Garrett County,5,29906,14773,15133,1656,868,788,3691,1903,1788,1782,925,857,2510,1284,1226,23728,11572,12156,22777,11077,11700,11946,6031,5915,7627,3777,3850,4573,1983,2590,604,198,406,39.3,38.2,40.4
